"...1","Language","Family","ISO code","tokens","types","alpha","beta","beta_prime"
7,"Arabic","Austronesian","ar",1318,725,-0.549452992403756,-1.69577986678909,-1.31568416490554
9,"Basque","N/D","eu",1236,652,-0.573185988476868,-1.62235687238659,-1.38597647406778
15,"Bulgarian","Indo-European","bg",2273,653,-0.791562671759303,-1.25037262973359,-1.06941475412168
5,"Chinese","Sino-Tibetan","zh",2693,532,-1.00365589999143,-0.819070487705177,-1.36883174747151
10,"Estonian","Uralic","et",1250,654,-0.552934182713555,-1.77768733172632,-1.11105105933626
2,"Finnish","Uralic","fi",1113,672,-0.446819442243478,-2.14013525350941,-1.04351956486639
14,"German","Indo-European","de",1330,545,-0.716828587060355,-1.32065049344442,-1.2647664995444
4,"Indonesian","Austronesian","id",1302,488,-0.765358787783953,-1.24651358389627,-1.3377570400476
19,"Irish","Indo-European","ga",1640,598,-0.763048325850859,-1.2690647208765,-1.09296393583356
6,"Japanese","Japonic","ja",2325,517,-0.981207309952196,-0.980010993654656,-1.00328970787267
11,"Kannada","Dravian","kn",401,304,-0.363591442823494,-2.24674296708798,-2.19558677302925
1,"Korean","Koreanic","ko",996,557,-0.538037944826254,-1.78135971352466,-1.27867020981573
18,"Malay","Austronesian","ms",1288,462,-0.79945814829269,-1.16510716514042,-1.31147516764893
13,"Polish","Indo-European","pl",1334,655,-0.60920371129314,-1.58775241944228,-1.2049092025177
16,"Setswana","Atlantic-Congo","tn",1735,459,-0.901845870317113,-1.08063431154046,-1.02437376180521
17,"Slovak","Indo-European","sk",1444,726,-0.589899434725848,-1.63173819593439,-1.17715143768463
0,"Spanish","Indo-European","es",1559,509,-0.805472673081792,-1.23074378944384,-1.07016856333236
8,"Tagalog","Afro-Asiatic","tl",1509,453,-0.836267888780806,-1.18875074361072,-1.00432921147223
3,"Turkish","Turkic","tr",1310,696,-0.573829672629563,-1.61788831021461,-1.51993610032127
12,"Yoruba","Atlantic-Congo","yo",1437,385,-0.957294918469794,-0.889515793322792,-1.09674372333925
