,Language,Family,ISO code,tokens,types
7,Arabic,Austronesian,ar,1318,725
9,Basque,N/D,eu,1236,652
15,Bulgarian,Indo-European,bg,2273,653
5,Chinese,Sino-Tibetan,zh,2693,532
10,Estonian,Uralic,et,1250,654
2,Finnish,Uralic,fi,1113,672
14,German,Indo-European,de,1330,545
4,Indonesian,Austronesian,id,1302,488
19,Irish,Indo-European,ga,1640,598
6,Japanese,Japonic,ja,2325,517
11,Kannada,Dravian,kn,401,304
1,Korean,Koreanic,ko,996,557
18,Malay,Austronesian,ms,1288,462
13,Polish,Indo-European,pl,1334,655
16,Setswana,Atlantic-Congo,tn,1735,459
17,Slovak,Indo-European,sk,1444,726
0,Spanish,Indo-European,es,1559,509
8,Tagalog,Afro-Asiatic,tl,1509,453
3,Turkish,Turkic,tr,1310,696
12,Yoruba,Atlantic-Congo,yo,1437,385
